0.0002,4.544,0.019
0.0004,4.8723,0.0364
0.0006,5.2046,0.033
0.0008,5.5129,0.0295
0.001,5.7971,0.0364
0.0012,6.0373,0.0433
0.0014,6.2395,0.0399
0.0016,6.3896,0.0278
0.0018,6.5417,0.0381
0.002,5.7651,0.0399
0.0022,5.2546,-0.0259
0.0024,5.7571,0.0485
0.0026,6.1794,0.0555
0.0028,6.4176,0.033
0.003,6.3296,0.0659
0.0032,6.4437,0.033
0.0034,6.5097,0.052
0.0036,6.5297,0.0278
0.0038,6.4857,0.0381
0.004,6.0573,0.0243
0.0042,4.9103,20.0436
0.0044,5.1345,18.5631
0.0046,5.2706,19.7839
0.0048,5.3407,20.3553
0.005,5.3347,20.5372
0.0052,5.1686,20.0159
0.0054,4.9424,19.2125
0.0056,4.7182,18.2029
0.0058,4.4679,17.1033
0.006,4.1937,16.0141
0.0062,3.9195,14.7743
0.0064,3.5852,13.4946
0.0066,3.2489,11.9846
0.0068,2.8926,10.5664
0.007,2.5543,9.2937
0.0072,2.2901,7.6365
0.0074,1.7636,5.3923
0.0076,1.1811,2.8434
0.0078,0.1822,0.0676
0.008,-1.0348,-0.0259
0.0082,-1.8115,-0.0294
0.0084,-1.9717,-0.0173
0.0086,-1.8315,-0.0069
0.0088,-1.92E+00,0.0001
0.009,-2.5061,-0.0277
0.0092,-2.7884,-0.0398
0.0094,-3.1167,-0.0242
0.0096,-3.543,-0.0277
0.0098,-3.9414,-0.0277
0.01,-4.2737,-0.0328
0.0102,-4.5659,-0.0328
0.0104,-4.8582,-0.0311
0.0106,-5.1704,-0.0363
0.0108,-5.4667,-0.0346
0.011,-5.767,-0.0363
0.0112,-6.0212,-0.038
0.0114,-6.2374,-0.0346
0.0116,-6.3975,-0.0311
0.0118,-6.5416,-0.0346
0.012,-6.6577,-0.0467
0.0122,-6.4295,-0.0415
0.0124,-6.2474,-0.038
0.0126,-6.4576,-0.0588
0.0128,-6.6517,-0.0432
0.013,-5.805,-0.0554
0.0132,-5.779,-0.019
0.0134,-6.0672,-0.0571
0.0136,-6.2454,-0.0519
0.0138,-6.2274,-0.045
0.014,-6.1153,-0.0328
0.0142,-6.0172,-0.0363
0.0144,-5.9251,-0.0328
0.0146,-5.853,-0.0328
0.0148,-5.7429,-0.0415
0.015,-5.5828,-0.0311
0.0152,-5.4086,-0.0311
0.0154,-5.2405,-0.0207
0.0156,-5.0283,-0.0207
0.0158,-4.7881,-0.0069
0.016,-4.4218,-0.0017
0.0162,-4.0234,-0.0138
0.0164,-3.6431,-0.0103
0.0166,-3.30E+00,0.0001
0.0168,-2.9805,0.0035
0.017,-2.2619,0.0122
0.0172,-1.4972,0.0174
0.0174,-0.8887,0.0208
0.0176,-0.2422,0.0052
0.0178,0.3243,0.0139
0.018,0.7247,0.0156
0.0182,1.045,0.0087
0.0184,1.4313,0.0156
0.0186,1.9377,0.0243
0.0188,2.4902,0.0226
0.019,2.9987,0.0243
0.0192,2.6964,0.0381
0.0194,2.8145,0.0122
0.0196,3.3149,0.0191
0.0198,3.9035,0.0347
0.02,4.3639,0.0347
0.0202,4.6701,0.033
0.0204,4.8863,0.033
0.0206,5.1766,0.033
0.0208,5.5089,0.0399
0.021,5.8111,0.0347
0.0212,6.0693,0.0364
0.0214,6.2615,0.0347
0.0216,6.3856,0.0347
0.0218,6.5237,0.0295
0.022,6.3095,0.0381
0.0222,4.4679,20.4679
0.0224,5.0905,16.7449
0.0226,5.733,20.0315
0.0228,6.0994,22.8576
0.023,6.2595,24.4403
0.0232,6.3536,25.0394
0.0234,6.4497,25.268
0.0236,5.7951,25.2836
0.0238,5.5869,21.3701
0.024,5.731,21.1692
0.0242,5.7931,21.945
0.0244,5.727,22.3363
0.0246,5.633,22.7104
0.0248,5.5129,22.442
0.025,5.3587,21.9104
0.0252,5.1766,21.1727
0.0254,4.9604,20.4004
0.0256,4.7242,19.6125
0.0258,4.474,18.6514
0.026,4.2157,17.4808
0.0262,3.9455,16.331
0.0264,3.6292,15.0652
0.0266,3.2969,13.5673
